TWLVC1|20260921|202609211813|1870|code,fgn,fgnD,inv,invD,dlrH,mgn,mgnChg,shrt,sr,big,bigChg,small,smallChg,holders,holdersChg,mgnRate,mgnCost,mgnConf
2430,7,1,0,0,0,,,,,57.00,,28.99,,37946,,,,
2431,4,3,0,0,0,,,,,36.00,,48.34,,51582,,,,
2432,-3,-2,0,0,0,,,,,72.93,,12.56,,1258,,,,
2433,-1,-1,0,0,0,,,,,77.79,,17.87,,7853,,,,
2434,-51.905,-1,0,0,0,,,,,74.38,,19.10,,5997,,,,
2436,-1715.811,-2,0,0,101.244,,,,,18.14,,64.67,,75675,,,,
2438,-41,-1,0,0,0,,,,,49.52,,30.19,,26480,,,,
2439,377.193,4,0,0,-3.959,,,,,22.12,,60.51,,71651,,,,
2440,132,4,0,0,0,,,,,67.57,,22.85,,8647,,,,
2441,260.099,3,167,1,-14.941,,,,,63.61,,25.85,,59612,,,,
2442,-56.997,-2,0,0,0,,,,,48.73,,34.66,,49910,,,,
2444,386.199,3,0,0,0,,,,,22.01,,53.52,,36064,,,,
2449,2032.75,4,4558.342,1,83.993,,,,,54.88,,32.83,,270590,,,,
2450,0,0,0,0,0,,,,,75.97,,20.27,,17522,,,,
2451,666.676,2,-9,-5,17.506,,,,,64.76,,21.87,,45425,,,,
2453,3.349,2,0,0,0,,,,,41.48,,45.69,,25579,,,,
2454,3156.867,4,307.803,1,46.634,,,,,63.49,,15.19,,572616,,,,
2455,-904.65,-2,1135,3,-74.2,,,,,40.71,,28.43,,62185,,,,
2457,180.27,1,0,0,3,,,,,24.51,,61.32,,112322,,,,
2458,-142.907,-1,-98,-2,-6.696,,,,,48.77,,34.57,,63572,,,,
2459,-11,-5,0,0,0,,,,,41.95,,33.05,,15067,,,,
2460,11.084,1,0,0,0,,,,,53.72,,31.87,,44599,,,,
2461,-73.632,-1,0,0,0,,,,,37.09,,37.63,,49994,,,,
2462,45,4,0,0,0,,,,,50.31,,34.15,,26091,,,,
2464,-1745.097,-1,6,4,-85.341,,,,,40.78,,43.27,,88839,,,,
2465,-143.361,-1,0,0,0,,,,,32.38,,49.11,,48751,,,,
2466,148.289,5,0,0,0,,,,,80.91,,9.17,,5509,,,,
2467,-212.207,-9,0,0,0.23,,,,,58.90,,22.82,,47621,,,,
2468,-1099.556,-1,0,0,40,,,,,50.02,,42.72,,11320,,,,
2471,80.066,5,0,0,0,,,,,6.74,,65.25,,36849,,,,
2472,-152.358,-1,-656,-13,-4.315,,,,,48.51,,36.85,,37762,,,,
2474,-477.339,-2,-73.001,-1,75.042,,,,,67.80,,22.69,,52057,,,,
2476,100.372,3,0,0,-32.138,,,,,59.95,,24.54,,19248,,,,
2477,179,4,17.574,5,0,,,,,66.99,,21.18,,11699,,,,
2478,37.038,2,0,0,-3.373,,,,,46.82,,34.05,,59068,,,,
2480,67.487,9,0,0,0,,,,,18.11,,53.83,,41995,,,,
2481,-4765.038,-1,1,5,23.468,,,,,51.46,,37.93,,104016,,,,
2482,14,4,0,0,0,,,,,35.02,,53.12,,38589,,,,
2483,-68,-1,0,0,0,,,,,56.11,,28.35,,9406,,,,
2484,145.797,1,0,0,-0.06,,,,,16.57,,70.77,,89185,,,,
2485,949.746,2,0,0,14.579,,,,,20.45,,70.84,,136781,,,,
2486,-929.74,-1,0,0,-1.874,,,,,29.19,,51.78,,90488,,,,
2488,10.461,3,0,0,0,,,,,44.68,,33.98,,40634,,,,
2489,-8966.505,-2,0,0,-355.737,,,,,27.85,,61.58,,132519,,,,
2491,-245.853,-2,0,0,0,,,,,67.16,,19.42,,13357,,,,
2492,-1491.448,-1,-63,-6,-4.225,,,,,59.31,,32.84,,123432,,,,
2493,-919,-1,0,0,-1.722,,,,,42.59,,40.31,,45778,,,,
2495,134.261,4,0,0,-2.297,,,,,45.94,,41.43,,38208,,,,
2496,-2,-1,0,0,0,,,,,35.02,,38.08,,4233,,,,
2497,-190.147,-2,0,0,-0.177,,,,,57.65,,27.22,,11948,,,,
2498,1222.637,1,0,0,-12.969,,,,,33.45,,51.04,,163905,,,,
2501,-924.26,-2,0,0,0.948,,,,,72.46,,16.73,,44244,,,,
2504,-1557,-1,149.315,4,0,,,,,69.97,,18.01,,89939,,,,
2505,794,1,0,0,0,,,,,75.62,,14.52,,23760,,,,
