code,big,small,holders
2103,54.78,30.14,81957
2104,37.59,39.30,107608
2105,77.36,15.18,81598
2106,74.70,14.78,33200
2107,58.83,27.91,47929
2108,65.39,23.58,53100
2109,66.68,16.59,35142
2113,0.00,99.97,14
2114,59.19,23.72,5305
2115,58.78,18.39,3611
2201,60.06,28.47,94597
2204,70.97,21.73,42465
2206,81.70,10.93,67819
2207,83.23,4.69,13303
2208,49.73,35.92,123462
2211,77.19,15.23,24853
2221,66.93,24.06,4387
2226,100.00,0.00,1
2227,93.27,5.75,7473
2228,53.88,34.60,9705
2229,0.00,28.14,59
2230,33.58,37.40,11596
2231,60.99,27.64,13682
2233,34.51,45.21,38525
2235,76.08,15.34,1363
2236,66.58,17.02,3261
2237,70.63,13.84,3302
2239,78.12,12.58,2712
2241,32.38,37.96,28916
2243,53.78,19.28,2838
2245,66.91,11.45,501
2246,65.07,22.51,2884
2247,72.70,18.28,7933
2248,67.58,13.04,936
2249,54.24,21.32,1301
2250,48.97,41.47,9450
2252,76.03,10.79,1735
2254,89.33,3.53,2678
2255,71.28,13.47,1940
2256,41.47,27.14,2315
2258,92.82,4.12,8969
2301,75.22,14.56,188116
2302,57.35,32.42,24507
2303,72.08,21.44,971468
2305,62.22,26.36,23002
2308,73.59,13.29,635776
2312,44.18,44.41,200632
2313,54.07,36.46,295320
2314,5.51,77.40,53079
2316,56.42,30.27,61158
2317,66.76,25.83,1140654
2318,22.81,58.69,28529
2321,100.00,0.00,1
2321O,71.37,25.05,14519
2323,39.21,41.33,128069
2324,59.68,30.68,320428
2326,6.51,72.78,48274
2327,62.66,27.51,624900
2328,37.26,51.30,118167
2329,46.67,43.56,128760
2330,84.70,9.93,3050518
2331,54.27,34.35,56554
2332,29.05,52.52,104030
2333,20.37,59.33,87645
2335,25.39,48.36,6028
2337,35.87,52.11,494950
2338,39.90,48.67,87648
2340,33.18,52.47,109766
2341,86.94,11.14,23853
2342,32.65,56.70,142082
2344,64.01,27.89,585563
2345,56.34,15.33,100854
2347,84.90,8.19,40809
2348,65.24,24.85,25141
2348A,55.71,23.15,2634
2349,21.72,58.28,143287
2351,68.67,16.01,19961
2352,43.47,42.42,192953
2353,33.85,52.36,389687
2354,46.98,44.42,185134
2355,33.55,50.20,76103
2356,70.74,22.50,246716
2357,65.92,16.95,112376
2358,24.24,61.59,39731
2359,39.20,47.71,63619
2360,53.01,13.56,32870
2361,47.24,37.87,19314
2362,77.15,14.92,31275
2363,30.96,56.97,129468
2364,51.35,36.89,56110
2364A,0.00,99.99,4
2365,19.65,70.11,98404
2367,25.15,65.22,189659
2368,68.12,15.31,112573
2369,26.31,62.65,127578
2371,43.82,42.49,268143
2373,86.21,10.83,14140
2374,21.55,66.39,104927
2375,15.31,69.11,77744
2376,65.14,21.22,94521
2377,62.10,26.41,97855
2378,26.97,50.17,17778
2379,59.29,13.83,86475
2380,32.78,53.67,23544
2381,0.00,99.98,2565
2382,81.70,11.81,275649
2383,55.54,17.86,121470
2384,20.93,56.05,157967
2385,68.14,19.69,51453
2387,52.60,33.90,16940
2388,67.96,24.03,54188
2390,33.81,52.30,62193
2392,46.12,42.76,65497
2393,59.61,25.44,51304
2395,77.11,7.37,35476
2396,37.15,38.13,56590
2397,65.42,25.59,9193
2398,32.80,51.13,38407
2399,23.78,58.32,54114
2401,35.75,48.41,131202
2402,32.92,54.25,82555
2404,39.17,32.43,69620
2405,19.47,63.66,96974
2406,17.28,66.25,115947
2407,27.90,43.89,48652
2408,80.00,13.88,370062
2409,45.71,39.90,629821
2410,23.71,40.98,12540
2412,77.93,17.50,298660
2413,50.42,38.67,27323
2414,49.74,30.15,15690
2415,58.53,30.64,8822
2417,39.00,51.13,61594
2418,42.17,40.44,64447
2419,62.61,30.67,37882
2420,39.27,43.39,39115
2421,52.55,25.03,54244
2423,69.54,15.27,6176
2424,79.18,16.74,4336
2425,38.88,44.84,44087
2426,41.01,46.33,112316
2427,50.19,39.30,21943
2428,51.75,29.39,19165
2429,42.61,46.76,27490
2430,57.00,28.99,37946
2431,36.00,48.34,51582
2432,72.93,12.56,1258
2433,77.79,17.87,7853
2434,74.38,19.10,5997
2435,28.75,57.01,8964
2436,18.14,64.67,75675
2438,49.52,30.19,26480
2439,22.12,60.51,71651
2440,67.57,22.85,8647
2441,63.61,25.85,59612
2442,48.73,34.66,49910
2443,45.97,33.36,30669
2444,22.01,53.52,36064
2445,12.45,71.20,6213
2449,54.88,32.83,270590
2450,75.97,20.27,17522
2451,64.76,21.87,45425
2453,41.48,45.69,25579
2454,63.49,15.19,572616
2455,40.71,28.43,62185
2457,24.51,61.32,112322
2458,48.77,34.57,63572
2459,41.95,33.05,15067
2460,53.72,31.87,44599
2461,37.09,37.63,49994
